id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,own_goals
89,3,42.0,15.0,8.0,34.0,7.0,27.0,4.0,13.0,,
116,3,29.0,7.0,12.0,6.0,7.0,10.0,3.0,3.0,,
510,3,36.0,10.0,10.0,1.0,15.0,11.0,3.0,4.0,,
311,3,12.0,2.0,2.0,,8.0,2.0,2.0,,1.0,
305,3,21.0,1.0,7.0,1.0,9.0,5.0,,,,
456,3,25.0,3.0,6.0,,13.0,6.0,1.0,4.0,,
576,3,42.0,11.0,14.0,18.0,12.0,16.0,3.0,8.0,,
103,3,35.0,10.0,13.0,3.0,12.0,10.0,10.0,,,1.0
78,3,38.0,15.0,8.0,6.0,6.0,24.0,10.0,1.0,,
854,3,18.0,5.0,3.0,,2.0,13.0,3.0,5.0,,
297,3,16.0,1.0,7.0,2.0,5.0,4.0,2.0,1.0,,
189,3,3.0,0.0,2.0,,1.0,,1.0,,,
26,3,19.0,4.0,5.0,2.0,7.0,7.0,,2.0,,
42,3,5.0,1.0,2.0,,2.0,1.0,,,,
239,3,39.0,15.0,10.0,3.0,9.0,20.0,6.0,9.0,,
964,3,,,,,,,,,,
33,3,13.0,5.0,6.0,,5.0,2.0,,,,
244,3,,,,,,,,,,
593,3,,,,,,,,,,
95,3,36.0,12.0,14.0,,12.0,10.0,,1.0,,
153,3,42.0,15.0,12.0,3.0,19.0,11.0,5.0,4.0,,
41,3,35.0,7.0,11.0,5.0,14.0,10.0,7.0,7.0,,
276,3,,,,,,,,,,
913,3,,,,,,,,,,
406,3,41.0,12.0,10.0,5.0,9.0,22.0,5.0,8.0,,
172,3,41.0,14.0,16.0,,14.0,11.0,2.0,,,
674,3,24.0,3.0,12.0,8.0,7.0,5.0,3.0,2.0,,
216,3,15.0,2.0,2.0,,10.0,3.0,,1.0,,
708,3,38.0,13.0,12.0,,8.0,18.0,1.0,,2.0,
843,3,34.0,11.0,9.0,2.0,13.0,12.0,8.0,2.0,1.0,
242,3,11.0,2.0,4.0,,4.0,3.0,1.0,3.0,,
117,3,29.0,2.0,11.0,11.0,10.0,8.0,4.0,4.0,,
111,3,28.0,4.0,11.0,3.0,13.0,4.0,,2.0,,
22,3,27.0,6.0,13.0,2.0,7.0,7.0,6.0,5.0,,
769,3,41.0,10.0,12.0,1.0,17.0,12.0,4.0,3.0,,
549,3,36.0,11.0,12.0,,8.0,16.0,2.0,1.0,,
895,3,16.0,0.0,5.0,,9.0,2.0,2.0,,1.0,
12,3,20.0,4.0,6.0,2.0,9.0,5.0,1.0,,,1.0
868,3,,,,,,,,,,
583,3,11.0,6.0,5.0,,2.0,4.0,,,,
973,3,20.0,4.0,6.0,4.0,7.0,7.0,3.0,2.0,,
907,3,29.0,2.0,6.0,8.0,18.0,5.0,3.0,3.0,1.0,
166,3,,,,,,,,,,
530,3,35.0,6.0,15.0,3.0,11.0,9.0,2.0,4.0,,1.0
225,3,42.0,17.0,13.0,,9.0,20.0,,,,
443,3,27.0,6.0,6.0,1.0,9.0,12.0,6.0,1.0,,
936,3,38.0,10.0,10.0,,9.0,19.0,6.0,2.0,,
293,3,20.0,4.0,5.0,2.0,8.0,7.0,3.0,,,
780,3,,,,,,,,,,
373,3,30.0,4.0,9.0,1.0,16.0,5.0,2.0,3.0,,
85,3,,,,,,,,,,
757,3,42.0,9.0,18.0,6.0,12.0,12.0,3.0,4.0,,
264,3,31.0,8.0,7.0,2.0,16.0,8.0,3.0,2.0,,
10,3,,,,,,,,,,
146,3,37.0,14.0,11.0,,16.0,10.0,1.0,,,
68,3,,,,,,,,,,
787,3,24.0,7.0,4.0,,12.0,8.0,3.0,1.0,,
281,3,,,,,,,,,,
728,3,22.0,2.0,2.0,3.0,13.0,7.0,,,,
692,3,21.0,1.0,5.0,3.0,12.0,4.0,1.0,5.0,,
759,3,6.0,0.0,3.0,,2.0,1.0,1.0,,,
259,3,7.0,0.0,2.0,,3.0,2.0,,,,
114,3,4.0,0.0,3.0,,1.0,,,,,
888,3,22.0,4.0,8.0,5.0,5.0,9.0,1.0,,,
67,3,19.0,7.0,5.0,2.0,2.0,12.0,2.0,,,
238,3,41.0,17.0,13.0,6.0,9.0,19.0,1.0,8.0,,
450,3,2.0,0.0,,,2.0,,,,,
451,3,39.0,10.0,9.0,1.0,13.0,17.0,6.0,1.0,,2.0
314,3,,,,,,,,,,
602,3,,,,,,,,,,
156,3,11.0,4.0,5.0,,3.0,3.0,2.0,1.0,,
802,3,,,,,,,,,,
337,3,40.0,18.0,10.0,5.0,6.0,24.0,2.0,2.0,,
37,3,40.0,8.0,14.0,,15.0,11.0,5.0,,,
900,3,1.0,0.0,,,1.0,,,,,
5,3,1.0,0.0,,,1.0,,,,,
934,3,,,,,,,,,,
377,3,1.0,0.0,,,1.0,,1.0,,,
459,3,8.0,0.0,3.0,,4.0,1.0,1.0,,,
303,3,2.0,0.0,1.0,,1.0,,,1.0,,
271,3,40.0,15.0,9.0,7.0,10.0,21.0,4.0,8.0,,
23,3,24.0,5.0,5.0,4.0,12.0,7.0,3.0,7.0,,
340,3,,,,,,,,,,
429,3,26.0,4.0,6.0,2.0,11.0,9.0,7.0,1.0,,
904,3,1.0,0.0,1.0,,,,,,,
855,3,19.0,5.0,10.0,,4.0,5.0,2.0,,,
