id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
193,8,33.0,4.0,6.0,13.0,1.0,13.0,,14.0,1.0,
40,8,21.0,2.0,5.0,,1.0,13.0,1.0,3.0,1.0,
1449,8,20.0,0.0,2.0,1.0,,15.0,,3.0,3.0,
1110,8,,,,,,,,,,
75294,8,,,,,,,,,,
1065,8,1.0,0.0,,,,,,1.0,,
1216,8,8.0,0.0,2.0,3.0,,,,6.0,1.0,
1754,8,19.0,2.0,5.0,,,7.0,,7.0,1.0,
1224,8,1.0,0.0,1.0,,,,,,,
1676,8,1.0,1.0,,,,,,1.0,,
1436,8,29.0,10.0,9.0,3.0,,8.0,1.0,12.0,6.0,
1629,8,,,,,,,,,,
1778,8,9.0,2.0,2.0,1.0,1.0,6.0,,1.0,,
1354,8,,,,,,,,,,
929,8,17.0,8.0,5.0,1.0,1.0,2.0,,10.0,5.0,
75281,8,,,,,,,,,,
1427,8,1.0,0.0,,,,,,1.0,,
1535,8,2.0,0.0,,,,1.0,,1.0,,
1622,8,2.0,0.0,,,,1.0,,1.0,,
1123,8,1.0,0.0,,,,,,1.0,,
1775,8,3.0,0.0,1.0,,,2.0,,,,
1350,8,37.0,16.0,11.0,,,9.0,,17.0,1.0,
1722,8,,,,,,,,,,
972,8,37.0,5.0,12.0,,4.0,18.0,,7.0,1.0,
1795,8,12.0,3.0,1.0,2.0,1.0,7.0,,4.0,2.0,
1526,8,,,,,,,,,,
1561,8,,,,,,,,,,
1777,8,11.0,3.0,2.0,,,6.0,,3.0,,
1744,8,38.0,4.0,7.0,10.0,3.0,23.0,,8.0,3.0,
1391,8,34.0,10.0,9.0,8.0,4.0,16.0,1.0,9.0,6.0,
488,8,29.0,6.0,6.0,9.0,4.0,10.0,,13.0,6.0,
1149,8,18.0,5.0,6.0,2.0,2.0,3.0,,9.0,3.0,
13,8,28.0,6.0,5.0,3.0,1.0,6.0,,17.0,3.0,
742,8,12.0,0.0,1.0,,1.0,2.0,,9.0,,
1679,8,27.0,8.0,8.0,,1.0,8.0,,11.0,5.0,
1581,8,,,,,,,,,,
1451,8,30.0,6.0,8.0,16.0,13.0,8.0,,14.0,6.0,
1533,8,23.0,10.0,6.0,1.0,,7.0,1.0,10.0,2.0,
73690,8,,,,,,,,,,
669,8,13.0,3.0,2.0,1.0,,4.0,1.0,7.0,4.0,
1590,8,27.0,2.0,6.0,3.0,3.0,12.0,,9.0,2.0,
1770,8,2.0,0.0,,,,1.0,,1.0,,
1245,8,1.0,0.0,,,,1.0,,,,1.0
903,8,1.0,0.0,,,,1.0,,,,
1820,8,6.0,2.0,3.0,,,2.0,,1.0,1.0,
1742,8,12.0,0.0,2.0,1.0,1.0,7.0,,3.0,2.0,
229,8,23.0,3.0,6.0,,,12.0,,5.0,4.0,
1666,8,14.0,4.0,3.0,1.0,1.0,6.0,,5.0,4.0,1.0
1755,8,,,,,,,,,,
598,8,25.0,4.0,8.0,3.0,,11.0,,6.0,2.0,
1824,8,17.0,2.0,3.0,,,11.0,,3.0,2.0,
528,8,31.0,9.0,8.0,,2.0,14.0,,9.0,5.0,
338,8,26.0,7.0,7.0,12.0,4.0,9.0,,10.0,1.0,
1740,8,30.0,4.0,6.0,3.0,6.0,14.0,,10.0,1.0,
551,8,8.0,1.0,1.0,,,5.0,,2.0,3.0,
1504,8,28.0,10.0,9.0,1.0,2.0,9.0,,10.0,6.0,
1819,8,,,,,,,,,,
35,8,31.0,14.0,11.0,1.0,,5.0,,15.0,5.0,2.0
1747,8,11.0,4.0,2.0,1.0,,5.0,,4.0,3.0,
1262,8,,,,,,,,,,
1184,8,31.0,8.0,11.0,,,10.0,2.0,10.0,4.0,
921,8,29.0,7.0,5.0,,2.0,2.0,,22.0,4.0,
1418,8,2.0,0.0,2.0,,,,,,,
1370,8,10.0,2.0,2.0,,1.0,5.0,,3.0,3.0,
384,8,16.0,1.0,3.0,,,7.0,,6.0,,
75290,8,,,,,,,,,,
75295,8,,,,,,,,,,
1080,8,22.0,5.0,7.0,,,6.0,1.0,9.0,,
1389,8,20.0,3.0,5.0,,,10.0,,5.0,1.0,
1445,8,37.0,7.0,10.0,,1.0,16.0,,11.0,4.0,
1503,8,10.0,4.0,4.0,,,4.0,,2.0,,
92,8,,,,,,,,,,
179,8,29.0,6.0,7.0,1.0,2.0,15.0,,7.0,,
