id,year_id,appearances,clean_sheet,losses,wins,draws,goals,yellow_card,goal_assist,own_goals,red_card
2713,13,,,,,,,,,,
2829,13,,,,,,,,,,
2409,13,28.0,11.0,3.0,19.0,6.0,,,,,
2810,13,,,,,,,,,,
2814,13,,,,,,,,,,
2777,13,,,,,,,,,,
2434,13,37.0,11.0,14.0,8.0,15.0,4.0,4.0,4.0,,
2344,13,32.0,10.0,12.0,12.0,8.0,5.0,5.0,,1.0,1.0
2234,13,1.0,0.0,,,1.0,,,,,
2355,13,,,,,,,,,,
2612,13,1.0,0.0,,,1.0,,,,,
2417,13,33.0,3.0,4.0,23.0,6.0,2.0,4.0,5.0,,
2214,13,,,,,,,,,,
1344,13,7.0,1.0,3.0,3.0,1.0,,,,,
2072,13,33.0,5.0,10.0,16.0,7.0,1.0,3.0,1.0,,
2332,13,,,,,,,,,,
877,13,35.0,1.0,11.0,17.0,7.0,5.0,3.0,3.0,,1.0
2462,13,,,,,,,,,,
462,13,12.0,0.0,6.0,3.0,3.0,1.0,1.0,1.0,,
2657,13,,,,,,,,,,
715,13,17.0,2.0,6.0,5.0,6.0,1.0,5.0,,,
2054,13,28.0,19.0,1.0,22.0,5.0,2.0,1.0,1.0,,
2644,13,,,,,,,,,,
2000,13,,,,,,,,,,
2448,13,,,,,,,,,,
2316,13,13.0,2.0,1.0,11.0,1.0,,1.0,,1.0,
321,13,22.0,8.0,5.0,10.0,7.0,,2.0,3.0,,1.0
2676,13,,,,,,,,,,
2051,13,31.0,9.0,14.0,10.0,7.0,2.0,1.0,,,
2648,13,5.0,0.0,1.0,4.0,,,,,,
2709,13,1.0,0.0,,,1.0,,,,,
1476,13,32.0,6.0,15.0,6.0,11.0,7.0,3.0,1.0,,
1538,13,5.0,0.0,2.0,2.0,1.0,,,1.0,,
419,13,38.0,6.0,19.0,7.0,12.0,1.0,2.0,2.0,,
2703,13,,,,,,,,,,
2041,13,33.0,8.0,8.0,16.0,9.0,,3.0,1.0,,
2701,13,,,,,,,,,,
1979,13,,,,,,,,,,
70,13,25.0,2.0,11.0,5.0,9.0,1.0,2.0,3.0,,
2390,13,38.0,4.0,16.0,6.0,16.0,6.0,4.0,3.0,,
2610,13,,,,,,,,,,
2287,13,4.0,0.0,3.0,1.0,,,,,,
1943,13,18.0,5.0,2.0,14.0,2.0,3.0,,2.0,,
2079,13,15.0,3.0,8.0,4.0,3.0,1.0,2.0,,,
2164,13,,,,,,,,,,
335,13,32.0,8.0,2.0,20.0,10.0,5.0,3.0,9.0,,
1133,13,32.0,4.0,13.0,9.0,10.0,2.0,,,,
2443,13,34.0,4.0,11.0,16.0,7.0,7.0,5.0,4.0,,
2465,13,4.0,1.0,2.0,1.0,1.0,,2.0,1.0,,
851,13,36.0,6.0,12.0,10.0,14.0,,1.0,,,
2165,13,13.0,6.0,1.0,10.0,2.0,,,1.0,,
1736,13,16.0,4.0,8.0,5.0,3.0,,3.0,,,
2455,13,1.0,0.0,,1.0,,,,,,
1420,13,38.0,15.0,14.0,9.0,15.0,,,,,
2091,13,29.0,5.0,11.0,6.0,12.0,,2.0,,,1.0
2182,13,,,,,,,,,,
1886,13,21.0,5.0,5.0,13.0,3.0,4.0,3.0,6.0,,
466,13,20.0,1.0,11.0,4.0,5.0,1.0,,,,
2204,13,16.0,1.0,4.0,4.0,8.0,2.0,,1.0,,
1834,13,12.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,,
2525,13,,,,,,,,,,
1429,13,34.0,4.0,15.0,6.0,13.0,,4.0,9.0,,1.0
1118,13,26.0,2.0,13.0,8.0,5.0,2.0,1.0,2.0,,
2611,13,21.0,5.0,2.0,16.0,3.0,1.0,1.0,1.0,,
1503,13,,,,,,,,,,
300,13,19.0,8.0,7.0,5.0,7.0,,4.0,,1.0,
2633,13,,,,,,,,,,
2389,13,,,,,,,,,,
2230,13,,,,,,,,,,
2383,13,,,,,,,,,,
1437,13,22.0,4.0,10.0,5.0,7.0,,7.0,,,
2198,13,3.0,0.0,2.0,,1.0,,,,,
2722,13,,,,,,,,,,
2826,13,,,,,,,,,,
1866,13,37.0,5.0,1.0,28.0,8.0,12.0,1.0,6.0,,
2135,13,10.0,1.0,6.0,1.0,3.0,,1.0,,,
2118,13,1.0,0.0,1.0,,,,,,,
2813,13,,,,,,,,,,
1144,13,35.0,10.0,17.0,7.0,11.0,3.0,7.0,,,
35,13,10.0,3.0,1.0,3.0,6.0,,1.0,,,
1370,13,28.0,3.0,14.0,3.0,11.0,,1.0,,,1.0
2558,13,36.0,9.0,18.0,7.0,11.0,2.0,4.0,,,
1863,13,16.0,2.0,6.0,2.0,8.0,,1.0,1.0,,
2784,13,,,,,,,,,,
2562,13,3.0,0.0,3.0,,,,,,,
1595,13,30.0,5.0,11.0,13.0,6.0,,6.0,6.0,,
2131,13,16.0,0.0,8.0,2.0,6.0,,,4.0,,
2087,13,1.0,0.0,1.0,,,,,,,
709,13,2.0,0.0,2.0,,,,,,,
2687,13,,,,,,,,,,
2771,13,20.0,3.0,10.0,5.0,5.0,,6.0,2.0,,
2744,13,,,,,,,,,,
2431,13,,,,,,,,,,
2010,13,,,,,,,,,,
2563,13,2.0,0.0,,1.0,1.0,,,,,
1335,13,,,,,,,,,,
2524,13,,,,,,,,,,
2736,13,26.0,14.0,3.0,17.0,6.0,1.0,4.0,1.0,,
2502,13,,,,,,,,,,
2770,13,,,,,,,,,,
848,13,29.0,3.0,11.0,11.0,7.0,5.0,9.0,2.0,,1.0
734,13,,,,,,,,,,
2371,13,24.0,6.0,8.0,6.0,10.0,,1.0,1.0,,
2175,13,,,,,,,,,,
1413,13,36.0,9.0,11.0,13.0,12.0,13.0,2.0,7.0,,
2283,13,,,,,,,,,,
2449,13,,,,,,,,,,
2093,13,12.0,1.0,6.0,1.0,5.0,3.0,1.0,,,
2430,13,6.0,0.0,2.0,1.0,3.0,,,,,1.0
2623,13,,,,,,,,,,
1656,13,4.0,0.0,1.0,2.0,1.0,,,,,
2607,13,10.0,5.0,2.0,6.0,2.0,,,,,
2547,13,29.0,4.0,11.0,9.0,9.0,,7.0,,,1.0
1659,13,32.0,10.0,4.0,21.0,7.0,25.0,2.0,14.0,,
2215,13,2.0,0.0,2.0,,,,,,,
2174,13,,,,,,,,,,
2696,13,9.0,0.0,6.0,1.0,2.0,,1.0,,,
1771,13,17.0,1.0,7.0,8.0,2.0,,,,,
104,13,8.0,2.0,2.0,4.0,2.0,,,,,
1999,13,16.0,2.0,7.0,4.0,5.0,,,,,
1919,13,,,,,,,,,,
2827,13,,,,,,,,,,
2809,13,18.0,4.0,4.0,9.0,5.0,1.0,1.0,,,
2517,13,,,,,,,,,,
566,13,20.0,1.0,10.0,5.0,5.0,3.0,1.0,1.0,,
1135,13,19.0,5.0,7.0,6.0,6.0,7.0,,2.0,,
2655,13,,,,,,,,,,
2111,13,26.0,1.0,9.0,13.0,4.0,9.0,2.0,1.0,,1.0
1308,13,34.0,8.0,15.0,9.0,10.0,7.0,2.0,1.0,,
2433,13,21.0,6.0,7.0,4.0,10.0,2.0,3.0,1.0,,1.0
2704,13,12.0,3.0,6.0,4.0,2.0,1.0,5.0,3.0,,
1854,13,25.0,5.0,9.0,9.0,7.0,6.0,,3.0,,1.0
2428,13,,,,,,,,,,
2622,13,,,,,,,,,,
1499,13,,,,,,,,,,
2527,13,2.0,0.0,,2.0,,,,,,
1145,13,11.0,3.0,2.0,5.0,4.0,,2.0,2.0,,
1843,13,35.0,6.0,14.0,10.0,11.0,7.0,2.0,5.0,,
2537,13,,,,,,,,,,
2361,13,,,,,,,,,,
2220,13,,,,,,,,,,
2303,13,31.0,8.0,9.0,12.0,10.0,1.0,9.0,5.0,,
1869,13,21.0,1.0,7.0,7.0,7.0,7.0,2.0,4.0,,
2140,13,10.0,0.0,1.0,5.0,4.0,1.0,,,,
1005,13,22.0,1.0,11.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0
1247,13,11.0,0.0,6.0,4.0,1.0,1.0,,4.0,,
2698,13,,,,,,,,,,
2645,13,21.0,6.0,6.0,10.0,5.0,1.0,5.0,,,
2009,13,26.0,1.0,11.0,6.0,9.0,2.0,6.0,3.0,,
1955,13,34.0,4.0,14.0,8.0,12.0,,7.0,3.0,,
1382,13,37.0,1.0,12.0,18.0,7.0,6.0,2.0,4.0,,
1205,13,32.0,3.0,14.0,10.0,8.0,3.0,,5.0,,
2365,13,,,,,,,,,,
2176,13,,,,,,,,,,
2621,13,11.0,1.0,6.0,3.0,2.0,,2.0,,,
2797,13,3.0,0.0,2.0,,,,,,,
991,13,29.0,4.0,4.0,19.0,6.0,8.0,1.0,12.0,,
2734,13,,,,,,,,,,
1921,13,19.0,1.0,7.0,9.0,3.0,2.0,,,,
2328,13,1.0,0.0,,,1.0,,,,,
1361,13,25.0,7.0,5.0,11.0,9.0,3.0,8.0,2.0,,
1496,13,,,,,,,,,,
2672,13,7.0,0.0,3.0,2.0,2.0,,,,,
2564,13,9.0,1.0,4.0,1.0,4.0,1.0,1.0,,,
2702,13,,,,,,,,,,
1673,13,11.0,0.0,7.0,3.0,1.0,2.0,,,,
2421,13,,,,,,,,,,
2511,13,28.0,6.0,10.0,8.0,10.0,2.0,6.0,,,
