id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,own_goals,red_card
732,5,34.0,6.0,8.0,,14.0,12.0,5.0,,,
921,5,18.0,6.0,6.0,,4.0,8.0,2.0,1.0,1.0,
1280,5,23.0,3.0,6.0,2.0,10.0,7.0,6.0,3.0,,
1138,5,,,,,,,,,,
663,5,,,,,,,,,,
1198,5,10.0,0.0,2.0,,4.0,4.0,,,,
513,5,1.0,0.0,,,,1.0,,,,
891,5,7.0,0.0,2.0,,4.0,1.0,,,,
1168,5,35.0,7.0,13.0,,13.0,9.0,5.0,2.0,,
641,5,27.0,4.0,11.0,,12.0,4.0,1.0,1.0,,
1270,5,25.0,0.0,6.0,3.0,13.0,6.0,2.0,,,
1096,5,34.0,9.0,15.0,6.0,6.0,13.0,7.0,8.0,,
1155,5,9.0,3.0,4.0,,5.0,,,1.0,1.0,
1141,5,11.0,1.0,4.0,1.0,4.0,3.0,,2.0,,
752,5,,,,,,,,,,
775,5,34.0,12.0,7.0,,16.0,11.0,6.0,,,
491,5,,,,,,,,,,
503,5,18.0,2.0,8.0,,5.0,5.0,2.0,,,1.0
1187,5,,,,,,,,,,
886,5,32.0,13.0,11.0,,12.0,9.0,6.0,,,
291,5,18.0,3.0,4.0,,9.0,5.0,1.0,,,
265,5,,,,,,,,,,
304,5,12.0,3.0,4.0,2.0,5.0,3.0,2.0,1.0,,
96,5,12.0,2.0,5.0,,6.0,1.0,1.0,,,
1259,5,22.0,1.0,4.0,2.0,14.0,4.0,4.0,1.0,,
308,5,,,,,,,,,,
1182,5,1.0,0.0,,,1.0,,,,,
1293,5,11.0,0.0,3.0,2.0,5.0,3.0,,,,
1134,5,,,,,,,,,,
785,5,20.0,4.0,9.0,,5.0,5.0,2.0,,,
954,5,34.0,9.0,11.0,3.0,7.0,16.0,5.0,8.0,,
1290,5,8.0,0.0,2.0,,5.0,1.0,,,,
495,5,38.0,10.0,15.0,,9.0,14.0,1.0,,,
1228,5,33.0,4.0,8.0,16.0,16.0,9.0,5.0,4.0,,1.0
1001,5,,,,,,,,,,
971,5,2.0,0.0,1.0,,1.0,,,1.0,,
262,5,23.0,5.0,6.0,2.0,6.0,11.0,,2.0,,
1286,5,4.0,0.0,1.0,,3.0,,2.0,,,
43,5,28.0,9.0,12.0,,7.0,9.0,2.0,1.0,,
966,5,28.0,7.0,8.0,1.0,12.0,8.0,3.0,,1.0,1.0
914,5,,,,,,,,,,
386,5,8.0,0.0,3.0,1.0,3.0,2.0,,,,
196,5,10.0,1.0,2.0,,7.0,1.0,2.0,,,
711,5,7.0,0.0,1.0,,5.0,1.0,,,,
79,5,13.0,0.0,4.0,,9.0,,,1.0,,
322,5,1.0,0.0,,,1.0,,,,,
237,5,,,,,,,,,,
1194,5,1.0,0.0,,,,1.0,,,,
1265,5,28.0,2.0,5.0,4.0,14.0,9.0,,1.0,,
943,5,20.0,0.0,10.0,3.0,8.0,2.0,2.0,,,
840,5,1.0,0.0,,,,1.0,,,1.0,
275,5,36.0,18.0,12.0,3.0,13.0,11.0,6.0,4.0,,
274,5,20.0,2.0,4.0,1.0,11.0,5.0,,1.0,,
568,5,,,,,,,,,,
159,5,24.0,5.0,9.0,1.0,10.0,5.0,,3.0,,
