id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1300,11,24.0,6.0,7.0,1.0,5.0,5.0,12.0,6.0,,
2231,11,,,,,,,,,,
587,11,18.0,1.0,2.0,1.0,,8.0,8.0,3.0,,1.0
1774,11,,,,,,,,,,
1495,11,5.0,0.0,1.0,3.0,1.0,1.0,3.0,,,
96,11,30.0,5.0,10.0,2.0,1.0,12.0,8.0,1.0,,2.0
1835,11,26.0,1.0,6.0,14.0,3.0,5.0,15.0,,,
2237,11,,,,,,,,,,
2330,11,,,,,,,,,,
11686,11,,,,,,,,,,
1914,11,13.0,1.0,2.0,,,9.0,2.0,1.0,,
1433,11,15.0,3.0,4.0,,,4.0,7.0,,,
2167,11,6.0,2.0,1.0,,,3.0,2.0,,,
1355,11,28.0,0.0,7.0,5.0,3.0,12.0,9.0,4.0,,1.0
1161,11,4.0,0.0,,,,4.0,,,,
495,11,,,,,,,,,,
1769,11,21.0,0.0,2.0,2.0,1.0,17.0,2.0,3.0,2.0,
2134,11,,,,,,,,,,
1607,11,12.0,0.0,4.0,,,5.0,3.0,2.0,,
2120,11,31.0,8.0,7.0,1.0,4.0,14.0,10.0,6.0,,3.0
2066,11,30.0,4.0,8.0,11.0,3.0,8.0,14.0,,1.0,
2307,11,1.0,0.0,,,,,1.0,,,
1954,11,,,,,,,,,,
2181,11,20.0,3.0,5.0,1.0,,8.0,7.0,6.0,,1.0
2216,11,,,,,,,,,,
785,11,,,,,,,,,,
1715,11,,,,,,,,,,
891,11,,,,,,,,,,
1177,11,11.0,0.0,1.0,,,5.0,5.0,2.0,,
886,11,19.0,2.0,3.0,,,9.0,7.0,1.0,1.0,
1978,11,,,,,,,,,,
1767,11,,,,,,,,,,
262,11,17.0,3.0,3.0,3.0,1.0,6.0,8.0,3.0,,
2138,11,11.0,3.0,3.0,,,6.0,2.0,1.0,,
1531,11,,,,,,,,,,
2150,11,32.0,9.0,9.0,,,13.0,10.0,11.0,,1.0
2305,11,1.0,0.0,,,,,1.0,,,
2273,11,,,,,,,,,,
2044,11,31.0,3.0,11.0,7.0,,13.0,7.0,3.0,,
1928,11,,,,,,,,,,
2110,11,37.0,11.0,9.0,6.0,5.0,10.0,18.0,1.0,,
2126,11,27.0,7.0,4.0,5.0,7.0,7.0,16.0,2.0,,1.0
1068,11,1.0,0.0,,,,1.0,,,,
2225,11,,,,,,,,,,
1695,11,5.0,0.0,2.0,2.0,,1.0,2.0,1.0,,
1716,11,1.0,0.0,,,,,1.0,,,
2240,11,4.0,0.0,2.0,,,2.0,,,,
2064,11,33.0,1.0,8.0,6.0,4.0,12.0,13.0,6.0,,1.0
2030,11,,,,,,,,,,
1517,11,30.0,7.0,6.0,2.0,,13.0,11.0,7.0,1.0,
2352,11,,,,,,,,,,
684,11,12.0,4.0,4.0,1.0,,2.0,6.0,1.0,,
2015,11,,,,,,,,,,
2265,11,,,,,,,,,,
2013,11,,,,,,,,,,
2025,11,,,,,,,,,,
2183,11,2.0,0.0,,,,1.0,1.0,,,
2347,11,2.0,0.0,,,,2.0,,,,
1946,11,,,,,,,,,,
1598,11,17.0,3.0,4.0,5.0,1.0,5.0,8.0,,,
2219,11,1.0,0.0,,,,1.0,,,,
2380,11,,,,,,,,,,
2247,11,20.0,1.0,5.0,5.0,1.0,6.0,9.0,1.0,,
2270,11,,,,,,,,,,
2224,11,,,,,,,,,,
2287,11,,,,,,,,,,
1505,11,38.0,7.0,9.0,,2.0,17.0,12.0,2.0,,
2276,11,,,,,,,,,,
70,11,28.0,5.0,5.0,2.0,4.0,7.0,16.0,4.0,,
2317,11,,,,,,,,,,
2081,11,,,,,,,,,,
2207,11,2.0,0.0,,,,2.0,,,,
2063,11,5.0,2.0,,,,1.0,4.0,1.0,,
1529,11,32.0,2.0,7.0,4.0,3.0,13.0,12.0,3.0,,
2079,11,35.0,9.0,9.0,4.0,2.0,16.0,10.0,4.0,,
2254,11,17.0,3.0,3.0,1.0,,10.0,4.0,1.0,,
1925,11,,,,,,,,,,
