id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
225,9,3.0,3.0,1.0,,,,2.0,,,
1967,9,5.0,0.0,1.0,,,3.0,1.0,,,
1246,9,38.0,13.0,10.0,,,14.0,14.0,3.0,1.0,
293,9,20.0,4.0,8.0,1.0,,7.0,5.0,4.0,,
1650,9,19.0,6.0,5.0,,1.0,4.0,10.0,1.0,,
1529,9,18.0,0.0,7.0,,2.0,6.0,5.0,,,
1968,9,,,,,,,,,,
1524,9,3.0,0.0,,,,1.0,2.0,,,
1903,9,34.0,3.0,6.0,19.0,4.0,11.0,17.0,2.0,,1.0
1655,9,1.0,0.0,,,,1.0,,,,
393,9,,,,,,,,,,
1915,9,9.0,0.0,,,1.0,8.0,1.0,,,
146,9,23.0,8.0,5.0,,1.0,3.0,15.0,,,
238,9,30.0,5.0,5.0,5.0,5.0,8.0,17.0,1.0,,1.0
67,9,2.0,0.0,,,,2.0,,,,
1046,9,,,,,,,,,,
1497,9,30.0,5.0,9.0,6.0,3.0,7.0,14.0,3.0,,
1992,9,4.0,0.0,1.0,,,2.0,1.0,,,
1670,9,37.0,6.0,11.0,1.0,,21.0,5.0,4.0,,1.0
1296,9,11.0,3.0,3.0,,,5.0,3.0,,,
1249,9,27.0,4.0,7.0,1.0,3.0,10.0,10.0,9.0,,
1875,9,8.0,1.0,2.0,,,4.0,2.0,2.0,1.0,
1871,9,9.0,1.0,4.0,,1.0,2.0,3.0,3.0,,
812,9,23.0,3.0,7.0,,1.0,7.0,9.0,4.0,,
757,9,33.0,8.0,5.0,1.0,5.0,10.0,18.0,1.0,,
259,9,30.0,6.0,7.0,,1.0,8.0,15.0,1.0,,
1850,9,27.0,5.0,8.0,,3.0,10.0,9.0,4.0,,
1630,9,3.0,0.0,1.0,,,2.0,,1.0,,
1735,9,6.0,0.0,,,,3.0,3.0,1.0,,
70,9,20.0,4.0,5.0,,2.0,5.0,10.0,2.0,,1.0
1411,9,15.0,0.0,1.0,,,10.0,4.0,,1.0,1.0
1728,9,13.0,0.0,3.0,,,9.0,1.0,1.0,,1.0
