id,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
199,2,15.0,4.0,3.0,,8.0,,4.0,,,
727,2,9.0,3.0,2.0,5.0,3.0,,4.0,,2.0,
539,2,14.0,0.0,1.0,,11.0,,2.0,1.0,,
566,2,37.0,4.0,12.0,6.0,17.0,,8.0,,6.0,
73,2,1.0,0.0,1.0,,,,,1.0,,
447,2,32.0,8.0,11.0,,9.0,,12.0,4.0,5.0,
128,2,40.0,12.0,13.0,3.0,13.0,,14.0,2.0,2.0,
460,2,37.0,8.0,11.0,5.0,12.0,,14.0,5.0,3.0,1.0
726,2,,,,,,,,,,
104,2,,,,,,,,,,
269,2,26.0,2.0,5.0,3.0,11.0,,10.0,,2.0,
569,2,27.0,2.0,8.0,5.0,15.0,,4.0,,2.0,
509,2,37.0,3.0,12.0,8.0,10.0,,15.0,1.0,5.0,
98,2,12.0,2.0,4.0,1.0,6.0,,2.0,,2.0,
555,2,23.0,4.0,6.0,,11.0,,6.0,2.0,1.0,
38,2,39.0,12.0,10.0,,14.0,,15.0,2.0,,
536,2,7.0,0.0,,,6.0,,1.0,,1.0,
418,2,6.0,0.0,4.0,,2.0,1.0,,1.0,,
590,2,39.0,10.0,9.0,2.0,12.0,1.0,18.0,5.0,3.0,
243,2,35.0,14.0,5.0,,8.0,,22.0,4.0,3.0,
187,2,38.0,9.0,9.0,4.0,16.0,,13.0,2.0,7.0,
182,2,15.0,5.0,,,9.0,,6.0,1.0,2.0,
194,2,35.0,13.0,5.0,21.0,9.0,,21.0,2.0,8.0,
331,2,,,,,,,,,,
226,2,22.0,9.0,9.0,,3.0,,10.0,,1.0,
471,2,25.0,8.0,11.0,,8.0,,6.0,3.0,,
327,2,1.0,0.0,1.0,,,,,,,
439,2,22.0,2.0,9.0,6.0,8.0,,5.0,,,
50,2,7.0,0.0,2.0,1.0,3.0,,2.0,,1.0,
760,2,8.0,0.0,1.0,1.0,6.0,,1.0,,,
548,2,,,,,,,,,,
74,2,41.0,18.0,9.0,1.0,8.0,1.0,24.0,1.0,3.0,
260,2,9.0,1.0,2.0,,1.0,,6.0,1.0,3.0,
431,2,32.0,4.0,10.0,5.0,16.0,,6.0,1.0,1.0,
606,2,4.0,0.0,2.0,1.0,2.0,,,,,
745,2,12.0,3.0,7.0,5.0,3.0,,2.0,,,
795,2,36.0,13.0,12.0,1.0,12.0,,12.0,1.0,4.0,
810,2,18.0,1.0,4.0,3.0,7.0,,7.0,1.0,2.0,
710,2,34.0,10.0,7.0,,9.0,,18.0,1.0,1.0,
325,2,,,,,,,,,,
