id,year_id,appearances,clean_sheet,draws,losses,wins,goal_assist,yellow_card,goals,red_card,own_goals
462,7,24.0,3.0,8.0,8.0,8.0,1.0,5.0,5.0,,
592,7,2.0,0.0,,1.0,1.0,,,,,
23,7,29.0,6.0,8.0,12.0,9.0,4.0,2.0,5.0,,
57,7,9.0,0.0,2.0,5.0,2.0,,,,,
1532,7,30.0,12.0,12.0,2.0,16.0,2.0,9.0,,,
782,7,,,,,,,,,,
1159,7,,,,,,,,,,
877,7,20.0,6.0,9.0,8.0,3.0,,3.0,6.0,,
1213,7,,,,,,,,,,
1646,7,4.0,0.0,2.0,1.0,1.0,,,,,
522,7,22.0,6.0,6.0,9.0,7.0,,6.0,1.0,,
855,7,15.0,6.0,4.0,5.0,6.0,,2.0,,,
158,7,17.0,0.0,6.0,8.0,3.0,1.0,1.0,1.0,,
1618,7,1.0,0.0,,1.0,,,,,,
1551,7,4.0,0.0,1.0,2.0,1.0,,1.0,,,
768,7,14.0,1.0,3.0,6.0,5.0,,7.0,,1.0,
1027,7,18.0,4.0,7.0,,11.0,1.0,4.0,1.0,,
1243,7,7.0,2.0,3.0,3.0,1.0,,,,,
1400,7,3.0,0.0,,2.0,1.0,,,,,
1423,7,1.0,0.0,,1.0,,,,,,
1507,7,,,,,,,,,,
102,7,1.0,0.0,,1.0,,,,,,
1189,7,17.0,7.0,8.0,2.0,7.0,,4.0,2.0,,
360,7,4.0,0.0,2.0,1.0,1.0,,,,,
1447,7,32.0,7.0,7.0,14.0,11.0,3.0,,3.0,,
363,7,33.0,8.0,13.0,9.0,11.0,1.0,7.0,4.0,1.0,
1620,7,4.0,0.0,,3.0,1.0,,1.0,,,
1576,7,,,,,,,,,,
1432,7,,,,,,,,,,
231,7,5.0,0.0,,4.0,1.0,,,,,
1396,7,38.0,14.0,10.0,17.0,11.0,,3.0,,,
1419,7,,,,,,,,,,
1214,7,,,,,,,,,,
1470,7,,,,,,,,,,
953,7,,,,,,,,,,
931,7,6.0,0.0,2.0,1.0,3.0,2.0,2.0,,,
122,7,2.0,0.0,1.0,1.0,,,,,,
744,7,3.0,0.0,1.0,1.0,1.0,,1.0,,,
1519,7,16.0,2.0,5.0,9.0,2.0,1.0,2.0,,,
1623,7,6.0,1.0,2.0,1.0,3.0,,2.0,3.0,,
448,7,30.0,7.0,11.0,15.0,4.0,2.0,7.0,1.0,,
1116,7,3.0,0.0,1.0,1.0,1.0,,,,,
1250,7,34.0,3.0,8.0,17.0,9.0,,1.0,7.0,,
1226,7,,,,,,,,,,
1029,7,9.0,0.0,2.0,,7.0,,,,,
34,7,23.0,6.0,6.0,10.0,7.0,,,,1.0,
19,7,35.0,21.0,12.0,4.0,19.0,2.0,4.0,6.0,,
1401,7,9.0,1.0,3.0,4.0,2.0,,1.0,,,
958,7,22.0,2.0,3.0,12.0,7.0,3.0,2.0,2.0,,
1208,7,30.0,4.0,8.0,10.0,12.0,5.0,1.0,18.0,,
1510,7,5.0,0.0,1.0,3.0,1.0,,2.0,1.0,1.0,
313,7,2.0,0.0,,1.0,1.0,,,,,
1299,7,37.0,11.0,11.0,4.0,22.0,6.0,2.0,6.0,,
921,7,28.0,5.0,7.0,2.0,19.0,2.0,5.0,,,
291,7,,,,,,,,,,
954,7,32.0,8.0,13.0,2.0,17.0,4.0,8.0,3.0,,
320,7,26.0,10.0,9.0,9.0,8.0,,5.0,,,1.0
587,7,34.0,7.0,11.0,13.0,10.0,1.0,6.0,,,
1099,7,,,,,,,,,,
497,7,32.0,6.0,6.0,17.0,9.0,1.0,9.0,,1.0,
1187,7,1.0,0.0,,,1.0,,,,,
1518,7,4.0,0.0,1.0,3.0,,1.0,,,,
686,7,,,,,,,,,,
1433,7,3.0,1.0,2.0,1.0,,,1.0,,,
785,7,19.0,4.0,5.0,4.0,10.0,,4.0,,,
395,7,12.0,3.0,2.0,6.0,4.0,1.0,1.0,,1.0,
1161,7,17.0,6.0,7.0,5.0,5.0,,,,,
732,7,34.0,10.0,10.0,12.0,12.0,,4.0,1.0,,
1168,7,38.0,11.0,12.0,18.0,8.0,1.0,2.0,,,
1406,7,,,,,,,,,,
1355,7,28.0,3.0,13.0,1.0,14.0,2.0,4.0,11.0,,
79,7,22.0,2.0,4.0,13.0,5.0,2.0,1.0,,,
1138,7,1.0,0.0,,1.0,,,,,,
820,7,,,,,,,,,,
1540,7,7.0,0.0,1.0,5.0,1.0,,1.0,,,
1092,7,16.0,1.0,5.0,11.0,,1.0,4.0,,,
1182,7,,,,,,,,,,
495,7,15.0,5.0,2.0,8.0,5.0,,,,,
1409,7,,,,,,,,,,
886,7,29.0,12.0,12.0,3.0,14.0,,2.0,,,
1322,7,30.0,7.0,9.0,14.0,7.0,1.0,9.0,3.0,,
1587,7,36.0,4.0,14.0,10.0,12.0,3.0,5.0,15.0,,
1425,7,34.0,3.0,8.0,12.0,14.0,2.0,7.0,5.0,,
1398,7,,,,,,,,,,
1607,7,,,,,,,,,,
1522,7,30.0,4.0,9.0,14.0,7.0,1.0,8.0,3.0,,
1523,7,18.0,5.0,5.0,8.0,5.0,,1.0,3.0,,
914,7,,,,,,,,,,
262,7,34.0,6.0,9.0,12.0,13.0,4.0,6.0,8.0,,
1531,7,,,,,,,,,,
1600,7,34.0,4.0,6.0,21.0,7.0,2.0,8.0,4.0,,
504,7,28.0,4.0,7.0,13.0,8.0,1.0,,,,
1513,7,8.0,4.0,3.0,2.0,3.0,,,,,
558,7,27.0,12.0,7.0,9.0,11.0,,8.0,2.0,1.0,
1301,7,,,,,,,,,,
1517,7,27.0,4.0,8.0,14.0,5.0,2.0,1.0,1.0,2.0,2.0
1465,7,4.0,0.0,,3.0,1.0,1.0,,,,
1452,7,3.0,0.0,1.0,1.0,1.0,,,,,
1446,7,34.0,7.0,5.0,16.0,13.0,1.0,2.0,5.0,,
1505,7,,,,,,,,,,
706,7,34.0,9.0,11.0,11.0,12.0,2.0,3.0,1.0,,
1598,7,11.0,0.0,3.0,4.0,4.0,1.0,1.0,1.0,,
1218,7,34.0,13.0,12.0,11.0,11.0,,1.0,,,
1545,7,23.0,7.0,9.0,5.0,9.0,1.0,6.0,2.0,,
586,7,7.0,3.0,3.0,2.0,2.0,,1.0,,,
336,7,31.0,5.0,11.0,2.0,18.0,7.0,7.0,6.0,,
310,7,,,,,,,,,,
660,7,18.0,3.0,3.0,9.0,6.0,,3.0,2.0,,
307,7,34.0,11.0,13.0,3.0,18.0,,,,,
78,7,33.0,9.0,11.0,14.0,8.0,1.0,5.0,5.0,2.0,
328,7,4.0,0.0,2.0,1.0,1.0,,,,,
1152,7,,,,,,,,,,
89,7,30.0,4.0,9.0,13.0,8.0,3.0,6.0,14.0,,
582,7,1.0,0.0,1.0,,,,,,,
1,7,32.0,19.0,11.0,3.0,18.0,,,,,
1032,7,5.0,0.0,2.0,2.0,1.0,,,,,
116,7,20.0,0.0,6.0,13.0,1.0,1.0,,1.0,,
576,7,17.0,3.0,7.0,1.0,9.0,3.0,4.0,2.0,,
1554,7,,,,,,,,,,
103,7,31.0,11.0,11.0,11.0,9.0,,9.0,1.0,1.0,
1412,7,22.0,5.0,3.0,6.0,13.0,3.0,6.0,7.0,,
1037,7,22.0,7.0,4.0,10.0,8.0,,5.0,,,1.0
154,7,37.0,7.0,9.0,17.0,11.0,,2.0,,,
1217,7,19.0,3.0,3.0,2.0,14.0,1.0,,12.0,,
1614,7,26.0,6.0,6.0,10.0,10.0,2.0,6.0,3.0,,
239,7,38.0,5.0,13.0,14.0,11.0,,6.0,4.0,,
