id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
2058,14,9.0,0.0,1.0,,4.0,4.0,,2.0,,
915,14,36.0,21.0,6.0,,6.0,24.0,2.0,5.0,,
2143,14,,,,,,,,,,
2426,14,,,,,,,,,,
557,14,20.0,9.0,5.0,2.0,5.0,10.0,2.0,1.0,,
1634,14,35.0,11.0,10.0,2.0,9.0,16.0,6.0,2.0,,
2112,14,19.0,3.0,4.0,,8.0,7.0,,2.0,,
2250,14,,,,,,,,,,
1175,14,5.0,1.0,1.0,,3.0,1.0,,1.0,,1.0
2718,14,31.0,7.0,6.0,7.0,4.0,21.0,3.0,4.0,,1.0
2617,14,1.0,0.0,,,1.0,,,,,
2957,14,14.0,0.0,4.0,1.0,8.0,2.0,,1.0,,
2450,14,,,,,,,,,,
2454,14,31.0,12.0,4.0,,2.0,25.0,2.0,7.0,,
2887,14,,,,,,,,,,
2828,14,,,,,,,,,,
2078,14,34.0,8.0,5.0,6.0,16.0,13.0,4.0,4.0,,
2391,14,,,,,,,,,,
2720,14,,,,,,,,,,
2191,14,20.0,3.0,4.0,1.0,10.0,6.0,,2.0,,
2022,14,6.0,1.0,,1.0,3.0,3.0,,1.0,,
2834,14,,,,,,,,,,
2359,14,,,,,,,,,,
2996,14,2.0,0.0,1.0,1.0,1.0,,,1.0,,
2806,14,,,,,,,,,,
2166,14,,,,,,,,,,
2912,14,,,,,,,,,,
2319,14,17.0,1.0,6.0,2.0,6.0,5.0,,3.0,,
259,14,6.0,2.0,2.0,,2.0,2.0,,2.0,,
670,14,16.0,2.0,3.0,,8.0,5.0,,1.0,,1.0
146,14,20.0,7.0,1.0,,10.0,9.0,,,,
2798,14,,,,,,,,,,
3006,14,,,,,,,,,,
2967,14,4.0,0.0,,,3.0,1.0,,,,
2402,14,38.0,6.0,6.0,9.0,18.0,14.0,3.0,3.0,,
2460,14,32.0,4.0,7.0,6.0,15.0,10.0,2.0,3.0,,
1756,14,13.0,1.0,2.0,,10.0,1.0,,4.0,,
2956,14,3.0,0.0,1.0,,,2.0,,,,
2891,14,8.0,0.0,2.0,,3.0,3.0,,,,1.0
2324,14,,,,,,,,,,
2556,14,1.0,0.0,,,1.0,,,,,
2751,14,3.0,0.0,1.0,,2.0,,,,,
2859,14,,,,,,,,,,
1042,14,32.0,10.0,11.0,1.0,12.0,9.0,,8.0,,
3028,14,2.0,0.0,,,1.0,1.0,,,,
3032,14,30.0,7.0,4.0,5.0,14.0,12.0,1.0,7.0,,1.0
2012,14,27.0,5.0,8.0,,13.0,6.0,,5.0,,
2738,14,,,,,,,,,,
2286,14,3.0,0.0,2.0,1.0,,1.0,1.0,1.0,,
1254,14,,,,,,,,,,
2503,14,,,,,,,,,,
2815,14,27.0,4.0,7.0,11.0,6.0,14.0,6.0,4.0,,1.0
1677,14,23.0,6.0,6.0,1.0,11.0,6.0,1.0,3.0,,
2848,14,,,,,,,,,,
2379,14,,,,,,,,,,
2908,14,,,,,,,,,,
2555,14,2.0,0.0,,,2.0,,,,,
2528,14,17.0,2.0,4.0,2.0,7.0,6.0,2.0,2.0,,
2807,14,,,,,,,,,,
3022,14,24.0,3.0,4.0,,14.0,6.0,,,,
2918,14,,,,,,,,,,
3019,14,,,,,,,,,,
1379,14,35.0,5.0,7.0,,14.0,14.0,,2.0,,1.0
2424,14,27.0,1.0,10.0,8.0,10.0,7.0,2.0,2.0,,
2636,14,34.0,9.0,6.0,9.0,11.0,17.0,5.0,3.0,,
2724,14,28.0,5.0,3.0,5.0,3.0,22.0,5.0,1.0,,
2841,14,,,,,,,,,,
2731,14,27.0,1.0,3.0,,13.0,11.0,1.0,3.0,,
1249,14,37.0,10.0,10.0,7.0,12.0,15.0,7.0,9.0,,
1384,14,1.0,0.0,1.0,,,,,,,
2741,14,,,,,,,,,,
2877,14,21.0,4.0,5.0,1.0,7.0,9.0,2.0,1.0,,1.0
2100,14,30.0,8.0,8.0,1.0,13.0,9.0,8.0,3.0,,
1423,14,28.0,3.0,4.0,4.0,12.0,12.0,8.0,3.0,,1.0
