id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,goal_assist_openplay,mins_played,ontarget_att_assist,open_play_pass,poss_lost_all,poss_lost_ctrl,times_tackled,total_att_assist,total_pass,touches,winning_goal,own_goals,attempts_ibox,att_bx_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_openplay,goals_openplay,ontarget_scoring_att,total_scoring_att,att_rf_goal,att_rf_total,total_sub_on,accurate_pass,successful_open_play_pass,total_sub_off
141,1,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,1,2.0,0.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,41.0,13.0,10.0,14.0,10.0,21.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1,38.0,6.0,11.0,4.0,14.0,13.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,1,27.0,7.0,7.0,4.0,11.0,9.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1,18.0,2.0,5.0,1.0,8.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,1,41.0,13.0,11.0,,16.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1,4.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,1,20.0,4.0,4.0,,6.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1,14.0,0.0,3.0,,5.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,32.0,9.0,11.0,,11.0,10.0,6.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
161,1,19.0,2.0,6.0,,10.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,1,18.0,2.0,5.0,4.0,10.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,14.0,2.0,4.0,,4.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,1,11.0,1.0,4.0,,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,1,36.0,7.0,11.0,7.0,10.0,15.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,40.0,11.0,7.0,,18.0,15.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,25.0,7.0,8.0,,5.0,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,6.0,2.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,33.0,6.0,15.0,3.0,10.0,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,31.0,8.0,9.0,3.0,12.0,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,23.0,0.0,8.0,7.0,9.0,6.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1,20.0,2.0,3.0,1.0,9.0,8.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,42.0,15.0,11.0,2.0,10.0,21.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1,39.0,10.0,16.0,4.0,12.0,11.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1,15.0,3.0,4.0,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,1,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1,39.0,11.0,12.0,7.0,15.0,12.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1,29.0,8.0,6.0,1.0,11.0,12.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,1,24.0,5.0,6.0,1.0,11.0,7.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1,31.0,6.0,9.0,4.0,13.0,9.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1,12.0,1.0,2.0,1.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1,10.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,39.0,8.0,14.0,9.0,13.0,12.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,1,7.0,0.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1,22.0,1.0,6.0,2.0,7.0,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,1,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,1,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1,38.0,11.0,9.0,8.0,10.0,19.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,39.0,14.0,11.0,1.0,9.0,19.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,38.0,8.0,15.0,5.0,13.0,10.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,1,3.0,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,31.0,10.0,14.0,3.0,7.0,10.0,1.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,26.0,5.0,4.0,12.0,13.0,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1,42.0,8.0,10.0,10.0,22.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1,37.0,8.0,10.0,,18.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,1,27.0,8.0,6.0,,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,1,2.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,34.0,8.0,11.0,1.0,13.0,10.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1,7.0,1.0,2.0,3.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,1,23.0,6.0,7.0,,10.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,1,21.0,6.0,6.0,,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,41.0,11.0,14.0,4.0,14.0,13.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,10.0,2.0,2.0,,5.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,1,27.0,0.0,5.0,2.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,15.0,2.0,,1.0,3.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1,37.0,9.0,9.0,,19.0,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
382,1,34.0,9.0,7.0,3.0,10.0,17.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1,7.0,0.0,4.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
