id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
2072,12,22.0,4.0,7.0,6.0,9.0,,2.0,4.0,,
1344,12,23.0,7.0,5.0,7.0,11.0,,,1.0,,1.0
300,12,31.0,5.0,7.0,15.0,9.0,3.0,1.0,9.0,,
1943,12,22.0,2.0,3.0,5.0,14.0,,1.0,,,2.0
2462,12,,,,,,,,,,
2280,12,,,,,,,,,,
1538,12,32.0,3.0,10.0,12.0,10.0,17.0,1.0,1.0,,
1175,12,21.0,2.0,6.0,10.0,5.0,2.0,,3.0,,
2118,12,24.0,1.0,3.0,7.0,14.0,4.0,4.0,2.0,,
2490,12,,,,,,,,,,
2051,12,28.0,5.0,9.0,9.0,10.0,2.0,,2.0,,
1979,12,10.0,1.0,1.0,6.0,3.0,1.0,,2.0,,
2448,12,,,,,,,,,,
2281,12,,,,,,,,,,
1346,12,33.0,4.0,9.0,12.0,12.0,1.0,,5.0,,
2041,12,22.0,7.0,8.0,8.0,6.0,,,5.0,,
277,12,31.0,2.0,12.0,14.0,5.0,7.0,,2.0,,
2481,12,,,,,,,,,,
1420,12,36.0,8.0,7.0,17.0,12.0,1.0,,,,
2521,12,,,,,,,,,,
1628,12,14.0,2.0,7.0,6.0,1.0,,1.0,1.0,,
2592,12,16.0,0.0,5.0,8.0,3.0,3.0,,4.0,,
2562,12,9.0,1.0,2.0,4.0,3.0,,,1.0,,
401,12,,,,,,,,,,
2000,12,,,,,,,,,,
416,12,,,,,,,,,,
321,12,30.0,11.0,5.0,6.0,19.0,2.0,3.0,5.0,2.0,
335,12,33.0,6.0,6.0,8.0,19.0,7.0,11.0,3.0,,
1739,12,,,,,,,,,,
851,12,38.0,11.0,17.0,8.0,13.0,,,1.0,,
2054,12,29.0,16.0,4.0,4.0,21.0,,,1.0,,
2501,12,,,,,,,,,,
2165,12,32.0,9.0,10.0,,22.0,4.0,4.0,2.0,,
2164,12,,,,,,,,,,
1919,12,,,,,,,,,,
329,12,12.0,1.0,4.0,7.0,1.0,,,2.0,,
2204,12,26.0,1.0,6.0,12.0,8.0,3.0,4.0,2.0,,
2026,12,5.0,0.0,1.0,3.0,1.0,,1.0,,,
1437,12,5.0,1.0,3.0,2.0,,,,2.0,,
1866,12,26.0,7.0,4.0,4.0,18.0,6.0,2.0,,,1.0
2182,12,4.0,0.0,1.0,2.0,1.0,1.0,1.0,,,
1253,12,14.0,4.0,3.0,7.0,4.0,,,1.0,,
1736,12,23.0,11.0,8.0,6.0,9.0,,,6.0,,
2230,12,,,,,,,,,,
2563,12,5.0,0.0,1.0,3.0,1.0,2.0,,,,
2455,12,,,,,,,,,,
2173,12,11.0,1.0,6.0,4.0,1.0,,,1.0,,
2558,12,11.0,0.0,2.0,6.0,3.0,,,,,
2316,12,25.0,7.0,5.0,7.0,13.0,1.0,4.0,,,1.0
1863,12,31.0,5.0,5.0,6.0,20.0,2.0,2.0,5.0,,
2262,12,,,,,,,,,,
2198,12,24.0,4.0,4.0,12.0,8.0,1.0,,6.0,,
1886,12,30.0,8.0,10.0,13.0,7.0,2.0,3.0,5.0,,
2465,12,4.0,1.0,1.0,1.0,2.0,,,1.0,,
938,12,,,,,,,,,,
2431,12,,,,,,,,,,
2312,12,,,,,,,,,,
1829,12,,,,,,,,,,
2451,12,,,,,,,,,,
2575,12,,,,,,,,,,
1595,12,25.0,11.0,9.0,5.0,11.0,2.0,2.0,6.0,,
